DHEA	ABBREVIATION
C18-C26 saturated fatty acids	FAMILY
phenylethanolaminocyclohexylphenyl	SYSTEMATIC
cefoxitin	TRIVIAL
1-{1-[2-(7-methoxy-2,2-dimethyl-4-oxochroman-8-yl)ethyl] piperidin-4-yl}-N-methyl-1H-indole-6-carboxamide	SYSTEMATIC
8-dihydroxy-9	SYSTEMATIC
purine nucleotide	FAMILY
H4Si04	FORMULA
(2,4-dimethoxy-1-naphthyl)methyl	SYSTEMATIC
cerium ion	SYSTEMATIC
N,N-dimethyl formamide	SYSTEMATIC
(E)-8-(3,4-dimethoxystyryl)-1,3-diethyl-7-methylxanthine	SYSTEMATIC
sulfates	FAMILY
halo	FAMILY
H2O2	FORMULA
C2-6alkynyl	FAMILY
gamma-hydroxyburyrate	SYSTEMATIC
SDA	ABBREVIATION
stibium	SYSTEMATIC
Triazospiro	FAMILY
(5cyano-pyridin-3-yl)methyl	SYSTEMATIC
beta-aminoisobutyric acid	FAMILY
SO2-aryl	FAMILY
salvianolic acidA	TRIVIAL
3, 5-dialkoxyl-4'-hydroxydiphenylethene	FAMILY
Entecavir monohydrate	SYSTEMATIC
alogliptin	TRIVIAL
Hydroxy-phenyl)-aryl-carbaldehyde oxime	FAMILY
brassicasterol	TRIVIAL
doxorubicin	TRIVIAL
tegafur	TRIVIAL
choline ascorbate	TRIVIAL
3-O-(4-dimethylaminobutanoyl)-1,2-O-dioleylgycerol	SYSTEMATIC
COR101	FAMILY
rhein	FAMILY
4-(7-chloro-quinoline -4-amino)- benzoic acid	SYSTEMATIC
mercury sulfide	SYSTEMATIC
Thymoquinone	TRIVIAL
ibuprofen	TRIVIAL
alkyamino	FAMILY
substituted fused imidazole	FAMILY
Scopoletin	FAMILY
phthalimide	FAMILY
10(R)-trifluoro-acetoxyl-9,10-dihydroartemisinine	SYSTEMATIC
tetrahydrotetrahdroxy-curcumin	SYSTEMATIC
0	FORMULA
N-benzylaniline	FAMILY
C5_6cycloalkyl	FAMILY
benzyl phosphate ester	SYSTEMATIC
piperazinephenothiazine	FAMILY
heterocyclic N-oxide	FAMILY
silibinin salt	FAMILY
heteroatom	FAMILY
NHCH2(2,4-(OCH3)2Ph	FORMULA
phthalimido	FAMILY
Levothyroxine sodium	SYSTEMATIC
tripelennamine hydrochloride	SYSTEMATIC
alendronate salts	FAMILY
C	FORMULA
SF5	FORMULA
nitrous oxide	SYSTEMATIC
L-carnosine	SYSTEMATIC
isobutyl acetate	SYSTEMATIC
F	FORMULA
2-naphthyl	SYSTEMATIC
—SO2NR12—	FAMILY
H	FORMULA
1'­-Acetoxychavicol	SYSTEMATIC
I	FORMULA
silver ions	SYSTEMATIC
3-(3,5-dimethoxyphenyl)-2-(p-(p-(2,2-bis(methoxycarbonyl)-viny l)phenoxy)phenyl)acrylic acid	SYSTEMATIC
K	FORMULA
diferuloylmethane	SYSTEMATIC
sophorolipid	FAMILY
N	FORMULA
(E)-9-Oxodec-2-enoic acid	SYSTEMATIC
O	FORMULA
acylhydrazone Schiff	FAMILY
BDP	ABBREVIATION
tungstate lithium	SYSTEMATIC
P	FORMULA
gold	SYSTEMATIC
levocetirizine hydrochloride	SYSTEMATIC
S	FORMULA
4-hydroxy-2,3-dimethoxy-6-methyl-5(3,7,11-trimethyl-dodeca-2,6,10-trienyl)-cyclohex-2-enone	SYSTEMATIC
Non-aminoglycoside	SYSTEMATIC
micronomicin sulfate	SYSTEMATIC
isoindoline	SYSTEMATIC
C1 to C3 alkyl	FAMILY
dibutyltin oxide	SYSTEMATIC
hydroxytyrosol	SYSTEMATIC/FAMILY
CR4R5′	FAMILY
-C(=N-OR1)-	FAMILY
—NR2R3	FAMILY
C1-C3alkyl	FAMILY
Phenethyl alcohol glycoside	FAMILY
SEt	ABBREVIATION
c	FORMULA
desvenlafaxine	TRIVIAL
furazolidone	TRIVIAL
